Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Девдюк,Назар,Олександрович,Чоловік,2005-01-04,Драматург,хутір Монастириська,"площа Текстильників, буд. 173, Полтава, 66935",974 10 40,iemelianenkookseniia@example.org
Якимчук,Мартин,Романович,Чоловік,1977-03-04,Мовознавець,селище Ірміно,"узвіз Мечникова, буд. 331, Помічна, 27692",+380 13 993-96-29,les09@example.com
Хоменко,Теодор,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,1986-05-04,Гицель,село Снігурівка,"вулиця Розумовський 2-й, буд. 438 кв. 90, Бурштин , 46147",+380 31 874 05 66,abramenkoiosyp@example.net
Ващенко-Захарченко,Мирон,Степанович,Чоловік,1992-01-21,Музикант,селище Ромни,"узвіз Молодогвардійська, буд. 931 кв. 2, Верхньодніпровськ, 93618",066 571-08-19,hanna25@example.org
Гайда,Варвара,Анатоліївна,Жінка,1997-08-22,Археолог,хутір Буча,"провулок Паустовського, буд. 06, Алмазна, 03489",+380 (66) 303-37-13,bohuslavvelychko@example.org
Чарниш,Едуард,Тарасович,Чоловік,2003-03-18,Медик,хутір Тлумач,"проспект Пестеля, буд. 290, Судак , 75663",865-09-26,kvashchuk@example.org
Данько,Захар,Ілліч,Чоловік,1974-04-29,Дантист,хутір Помічна,"проспект Сумський, буд. 8 кв. 5, Яворів, 72716",+380 77 545 23 20,oles96@example.net
Дубас,Богданна,Олександрівна,Жінка,1981-09-13,Публіцист,село Звенигородка,"шосе Артезіанська, буд. 716, Севастополь, 64009",034 196 16 18,havriushenkohanna@example.com
Чередник,Михайлина,Костянтинівна,Жінка,2004-12-05,Фотограф,місто Ужгород,"провулок Керченський 3-й, буд. 8, Самбір, 87624",+380 32 929 81 24,liliiashakhrai@example.net
Андрієвич,Аліна,Степанівна,Жінка,2004-08-08,Психолог,хутір Гірське,"провулок Тюльпанний, буд. 77 кв. 5, Умань, 82729",784 67 90,bohuslavatsisyk@example.com
Терещенко,Амвросій,Максимович,Чоловік,1971-09-17,Ґрунтознавець,село Берестечко,"сквер Юннатів 3-й, буд. 4, Сновськ, 98486",+380 (41) 885-15-86,shakhraiboleslav@example.com
Тимчук,Наталія,Романівна,Жінка,1980-10-28,Модельєр,селище Соснівка ,"сквер Самодіяльна, буд. 206 кв. 71, Перещепине, 79460",009 576-18-89,artymyshynstepan@example.net
Корж,Орина,Степанівна,Жінка,1976-01-09,Дантист,селище Івано-Франківськ,"узвіз Зелена балка, буд. 24, Коростень, 85619",463 49 46,dotsenkoiarema@example.com
Малик,Клавдія,Костянтинівна,Жінка,1988-10-10,Етнограф,село Помічна,"узвіз Байкальська, буд. 2 кв. 897, Луганськ, 91187",613 04 58,dupliiada@example.org
Твердохліб,Єлисавета,Романівна,Жінка,1966-01-20,Краєзнавець,місто Щолкіне,"набережна Локомотивний 3-й, буд. 725 кв. 9, Кременчук, 13488",091 610-08-52,zsuprunenko@example.org
Іваничук,Сергій,Романович,Чоловік,1966-03-21,Випробувач,селище Кролевець,"шосе Посмітного, буд. 83 кв. 3, Ужгород, 32604",+380 (06) 448-21-18,vdankevych@example.net
Лукаш,Софія,Данилівна,Жінка,1952-02-06,Вчитель,хутір Підгородне,"проспект Прокатна, буд. 98, Вознесенівка, 87802",+380 86 007-36-57,andriienkobohodar@example.net
Верес,Зорян,Юрійович,Чоловік,1956-01-31,Слідчий,хутір Гнівань,"проспект М’ясоєдовська, буд. 68 кв. 46, Красноперекопськ, 24984",592-77-03,viktoriiadanchenko@example.com
Худяк,Гаврило,Максимович,Чоловік,1974-08-03,Різноробочий,місто Костопіль,"сквер Щукіна, буд. 8 кв. 1, Марганець , 95722",282-56-80,milena06@example.org
Атрощенко,Едита,Павлівна,Жінка,2001-04-15,Ботанік,хутір Чоп,"площа Зелена гірка, буд. 611, Долина , 63708",430 09 31,ihnat72@example.com
Сич,Аврелій,Павлович,Чоловік,1942-07-01,Піаніст,місто Берестечко,"парк Чернівецький, буд. 66 кв. 2, Авдіївка, 23989",520-78-22,babiivasylyna@example.org
Швайка,Орхип,Романович,Чоловік,2003-09-24,Публіцист,хутір Кам'янка (Черкаська область),"парк Бехтерєва, буд. 5, Українка , 74615",276 89 23,vhaidabura@example.org
Юрчук,Хома,Олександрович,Чоловік,1968-06-11,Ґрунтознавець,село Скадовськ,"набережна Магнітогорський 3-й, буд. 7 кв. 365, Щолкіне, 69525",+380 81 027-44-69,babakiakiv@example.org
Охріменко,Марта,Олександрівна,Жінка,1987-07-12,Машиніст,хутір Вугледар,"вулиця 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 461 кв. 849, Прип'ять , 69254",126-32-59,azhazhamyron@example.com
Луценко,Микита,Олександрович,Чоловік,2007-10-10,Композитор,село Олександрівськ,"провулок Маловського, буд. 6 кв. 86, Бердичів, 43943",+380 17 105-40-45,nvashchenko@example.com
Бабʼяк,Арсен,Романович,Чоловік,1995-10-22,Дипломат,селище Валки ,"проспект Усатівська, буд. 74 кв. 750, Тальне, 44869",739 49 10,gustenko@example.com
Удовиченко,Вадим,Назарович,Чоловік,2004-02-17,Детектив,селище Бердянськ,"площа Академіка Глушка, буд. 555, Середина-Буда, 67031",+380 (45) 756-18-42,sheremetahalyna@example.net
Євтушок,Олекса,Ілліч,Чоловік,1983-06-17,Астроном,хутір Борислав,"узвіз Лінія 40-ва, буд. 7 кв. 995, Хрустальний, 95928",051 267 67 62,vladyslavshyian@example.org
Негода,Віталій,Тарасович,Чоловік,1949-01-08,Піаніст,місто Ромни,"провулок Горбиста, буд. 066 кв. 2, Баштанка, 74453",+380 (82) 804-44-95,kbezditko@example.com
Дутка,Варвара,Романівна,Жінка,1944-05-01,Фрілансер,хутір Нікополь,"шосе Пироговський, буд. 92, Тараща, 25004",482-20-17,acherinko@example.net
Семенченко,Христина,Святославівна,Жінка,1998-12-18,Філолог,село Судова Вишня,"сквер 14-та ст. Великого Фонтану пляж, буд. 3 кв. 984, Корсунь-Шевченківський, 95482",+380 49 844-48-99,eiarema@example.com
Чабан,Ярослава,Ярославівна,Жінка,2003-12-03,Реабілітолог,місто Городище ,"парк Овідіопольська дуга, буд. 11 кв. 9, Новодністровськ, 15562",+380 (13) 923-40-71,chervonenkoostap@example.org
Онуфрієнко,Надія,Олександрівна,Жінка,1962-01-26,Сценарист,хутір Охтирка,"проспект Виїзна, буд. 290, Бахмач, 53908",+380 71 591-95-33,sviatoslav63@example.org
Матвієнко,Андрій,Юрійович,Чоловік,1973-12-02,Програміст,місто Корюківка,"сквер Колонтаївська, буд. 8, Рахів, 89394",+380 24 426-50-61,zasukhahennadii@example.org
Гаврюшенко,Юхим,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,1949-09-08,Фармацевт,село Рівне,"площа Васнецова, буд. 3, Василівка , 03460",+380 (05) 338-72-15,ostap47@example.net
Батіг,Борис,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,1973-08-16,Модель,село Вознесенівка,"вулиця 14-та Суворовська, буд. 88 кв. 9, Моспине, 73375",042 339-01-05,iurchenkoveniiamyn@example.com
Атаманюк,Олег,Назарович,Чоловік,2003-12-12,Письменник,село Болград,"шосе Чапаєва, буд. 1, Лиман , 67447",+380 87 466-58-92,ivasiukklyment@example.net
